Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-116.211.207.84-38146-8081-6,10.215.173.1,38146,116.211.207.84,8081,6,06/11/2022 09:11:24 上午,44920,4,5,1362.0,122.0,1036.0,0.0,340.5,488.4707428973271,122.0,0.0,24.4,54.56005865099487,33036.50934995548,200.35618878005343,5615.0,9119.887139025977,21078.0,74.0,23495.0,7831.666666666667,10896.258731020172,20320.0,261.0,44920.0,11230.0,10589.98961283721,21078.0,412.0,0,0,0,0,80,128,89.04719501335708,111.30899376669635,0.0,1036.0,148.4,329.01036795551323,108247.82222222221,0,1,0,0,0,0,0,0,1.0,164.88888888888889,340.5,24.4,0,0,0,0,0,0,4,1362,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.89.39.115-48396-8081-6,10.215.173.1,48396,101.89.39.115,8081,6,06/11/2022 09:11:25 上午,68220,3,5,542.0,352.0,542.0,0.0,180.66666666666669,312.92384590077717,352.0,0.0,70.4,157.41918561598519,13104.661389621811,117.26766344180592,9745.714285714286,15629.584519048973,34117.0,46.0,33845.0,16922.5,21499.58168197698,32125.0,1720.0,68220.0,17055.0,17972.508320580444,34117.0,839.0,0,0,0,0,60,128,43.97537379067722,73.2922896511287,0.0,542.0,99.33333333333333,202.7510789120492,41108.0,0,1,0,0,0,0,0,0,1.0,111.75,180.66666666666666,70.4,0,0,0,0,0,0,3,542,5,352,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38166-8081-6,10.215.173.1,38166,116.211.207.84,8081,6,06/11/2022 09:11:29 上午,50504,4,5,1746.0,122.0,1036.0,0.0,436.5,521.3018958978249,122.0,0.0,24.4,54.56005865099487,36987.16933312213,178.20370663709804,6312.999999999999,11028.616089842952,27120.0,34.0,29127.0,9709.0,15763.46912960469,27907.0,276.0,50504.0,12626.0,13367.137689124025,27120.0,357.0,0,0,0,0,80,128,79.2016473942658,99.00205924283225,0.0,1036.0,186.79999999999998,371.68349737676306,138148.62222222224,0,1,0,0,0,0,0,0,1.0,207.55555555555554,436.5,24.4,0,0,0,0,0,0,4,1746,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38174-8081-6,10.215.173.1,38174,116.211.207.84,8081,6,06/11/2022 09:11:35 上午,62928,4,5,1538.0,122.0,1036.0,0.0,384.5,494.6173605256222,122.0,0.0,24.4,54.56005865099487,26379.354182557843,143.02059496567506,7866.0,14808.665011694047,40552.0,203.0,21854.0,7284.666666666667,11231.245003708776,20237.0,244.0,62928.0,15732.0,18647.584937465763,40552.0,532.0,0,0,0,0,80,128,63.564708873633364,79.4558860920417,0.0,1036.0,166.0,343.9353944501141,118291.55555555556,0,1,0,0,0,0,0,0,1.0,184.44444444444446,384.5,24.4,0,0,0,0,0,0,4,1538,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38188-8081-6,10.215.173.1,38188,116.211.207.84,8081,6,06/11/2022 09:11:39 上午,45291,4,5,1970.0,122.0,1036.0,0.0,492.5,570.2125334761885,122.0,0.0,24.4,54.56005865099487,46190.19231193836,198.71497648539446,5661.375,9598.118877266672,22068.0,49.0,22796.0,7598.666666666667,11825.514379228218,21245.0,356.0,45291.0,11322.75,11433.675622913219,22068.0,564.0,0,0,0,0,80,128,88.31776732684199,110.39720915855247,0.0,1036.0,209.19999999999996,411.3513772379467,169209.95555555553,0,1,0,0,0,0,0,0,1.0,232.44444444444446,492.5,24.4,0,0,0,0,0,0,4,1970,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38204-8081-6,10.215.173.1,38204,116.211.207.84,8081,6,06/11/2022 09:11:52 上午,56427,4,5,1634.0,122.0,1036.0,0.0,408.5,504.4505261503187,122.0,0.0,24.4,54.56005865099487,31119.853970616903,159.4981126056675,7053.374999999999,13025.895405882853,35419.0,32.0,20718.0,6906.0,10408.848687535045,18892.0,141.0,56427.0,14106.75,16247.835761007269,35419.0,623.0,0,0,0,0,80,128,70.88805004696333,88.61006255870417,0.0,1036.0,175.6,355.5012736342242,126381.15555555557,0,1,0,0,0,0,0,0,1.0,195.11111111111111,408.5,24.4,0,0,0,0,0,0,4,1634,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.109-38118-8081-6,10.215.173.1,38118,116.211.207.109,8081,6,06/11/2022 09:11:53 上午,43305,3,5,843.0,122.0,843.0,0.0,281.0,486.7062769268545,122.0,0.0,24.4,54.56005865099487,22283.800946772888,184.73617365200323,6186.428571428572,9184.245856486037,20460.0,90.0,22491.0,11245.5,11564.731406305984,19423.0,3068.0,43305.0,10826.25,10164.748443353956,20460.0,458.0,0,0,0,0,60,128,69.27606511950121,115.460108532502,0.0,843.0,107.22222222222223,278.85111519311596,77757.94444444444,0,1,0,0,0,0,0,0,1.0,120.625,281.0,24.4,0,0,0,0,0,0,3,843,5,122,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38226-8081-6,10.215.173.1,38226,116.211.207.84,8081,6,06/11/2022 09:12:09 上午,47040,5,5,2146.0,122.0,1036.0,0.0,429.2,554.7532784941428,122.0,0.0,24.4,54.56005865099487,48214.28571428572,212.58503401360545,5226.666666666667,8938.826908493083,20969.0,50.0,25654.0,6413.5,10550.284245775878,22133.0,100.0,47040.0,11760.0,10708.743561532636,20969.0,574.0,0,0,0,0,100,128,106.29251700680273,106.29251700680273,0.0,1036.0,206.1818181818182,412.22950359764843,169933.16363636364,0,1,0,0,0,0,0,0,1.0,226.8,429.2,24.4,0,0,0,0,0,0,5,2146,5,122,-1,8192,3,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-38240-8081-6,10.215.173.1,38240,116.211.207.84,8081,6,06/11/2022 09:12:22 上午,46244,4,5,1634.0,122.0,1036.0,0.0,408.5,504.4505261503187,122.0,0.0,24.4,54.56005865099487,37972.49372891618,194.61984257417177,5780.500000000001,10446.15915745386,25652.0,27.0,20250.0,6750.0,11206.421507332303,19688.0,81.0,46244.0,11561.0,12873.621039422695,25652.0,294.0,0,0,0,0,80,128,86.49770781074301,108.12213476342878,0.0,1036.0,175.6,355.5012736342242,126381.15555555557,0,1,0,0,0,0,0,0,1.0,195.11111111111111,408.5,24.4,0,0,0,0,0,0,4,1634,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.109-38156-8081-6,10.215.173.1,38156,116.211.207.109,8081,6,06/11/2022 09:12:27 上午,38062,3,5,843.0,122.0,843.0,0.0,281.0,486.7062769268545,122.0,0.0,24.4,54.56005865099487,25353.370816036993,210.18338500341548,5437.428571428572,8806.563610117606,19070.0,43.0,18539.0,9269.5,12469.828086224765,18087.0,452.0,38062.0,9515.5,10177.481859477815,19070.0,448.0,0,0,0,0,60,128,78.81876937628081,131.36461562713467,0.0,843.0,107.22222222222223,278.85111519311596,77757.94444444444,0,1,0,0,0,0,0,0,1.0,120.625,281.0,24.4,0,0,0,0,0,0,3,843,5,122,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
