Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
223.109.146.129-10.215.173.1-443-46714-6,10.215.173.1,46714,223.109.146.129,443,6,09/11/2022 10:10:14 上午,50035,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.9440391725792,16678.333333333332,26752.282039731366,47541.0,104.0,2390.0,2390.0,0.0,2390.0,2390.0,47541.0,47541.0,0.0,47541.0,47541.0,0,0,0,0,40,68,39.9720195862896,39.9720195862896,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
223.109.146.129-10.215.173.1-443-46714-6,223.109.146.129,443,10.215.173.1,46714,6,09/11/2022 10:10:14 上午,87907,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75131673245589,87907.0,0.0,87907.0,87907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11.375658366227945,11.375658366227945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-111.19.135.228-40376-80-6,10.215.173.1,40376,111.19.135.228,80,6,09/11/2022 10:09:35 上午,45145828,107,191,1578.0,1049010.0,394.0,0.0,14.747663551401867,41.086676318541535,9960.0,0.0,5492.198952879583,3944.3930814844066,23270.98752070734,6.60083142123343,152006.1548821549,2572564.183524655,4.4337242E7,11.0,4.5106069E7,425528.95283018873,4305726.5143503295,4.4337242E7,11.0,769810.0,4051.631578947369,10451.56655233747,97681.0,54.0,0,0,0,0,2140,3848,2.370097188160997,4.230734233072433,0.0,9960.0,3513.6722408026753,4106.884436091191,1.6866499771408055E7,0,1,0,0,0,0,0,0,1.0,3525.463087248322,14.74766355140187,5492.198952879581,0,0,0,0,0,0,107,1578,191,1049010,-1,1023,31,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-111.19.135.228-40376-80-6,111.19.135.228,80,10.215.173.1,40376,6,09/11/2022 10:10:20 上午,41852,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78744146038421,41852.0,0.0,41852.0,41852.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23.893720730192104,23.893720730192104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-59.82.23.202-42460-443-6,10.215.173.1,42460,59.82.23.202,443,6,09/11/2022 10:09:35 上午,45240411,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884165265430502,1.5080137E7,2.604217677397143E7,4.5151009E7,384.0,4.5151009E7,4.5151009E7,0.0,4.5151009E7,4.5151009E7,89018.0,89018.0,0.0,89018.0,89018.0,0,0,0,0,40,68,0.0442082632715251,0.0442082632715251,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-59.82.23.202-42460-443-6,59.82.23.202,443,10.215.173.1,42460,6,09/11/2022 10:10:20 上午,50461,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63456927131845,50461.0,0.0,50461.0,50461.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19.817284635659224,19.817284635659224,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
223.109.146.129-10.215.173.1-443-46758-6,10.215.173.1,46758,223.109.146.129,443,6,09/11/2022 10:10:34 上午,58040,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91798759476224,19346.666666666664,32768.09381598712,57183.0,190.0,667.0,667.0,0.0,667.0,667.0,57183.0,57183.0,0.0,57183.0,57183.0,0,0,0,0,40,68,34.45899379738112,34.45899379738112,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
223.109.146.129-10.215.173.1-443-46758-6,223.109.146.129,443,10.215.173.1,46758,6,09/11/2022 10:10:34 上午,59073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.856414944221555,59073.0,0.0,59073.0,59073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.928207472110778,16.928207472110778,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-59.82.23.202-42566-443-6,10.215.173.1,42566,59.82.23.202,443,6,09/11/2022 10:10:29 上午,6346342,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6302843433272269,2115447.333333333,3501464.5778345857,6157125.0,346.0,6157125.0,6157125.0,0.0,6157125.0,6157125.0,188871.0,188871.0,0.0,188871.0,188871.0,0,0,0,0,40,68,0.31514217166361347,0.31514217166361347,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-59.82.23.127-38030-443-6,10.215.173.1,38030,59.82.23.127,443,6,09/11/2022 10:09:34 上午,61234048,56,32,31162.0,11074.0,1024.0,0.0,556.4642857142854,438.02880620449497,1832.0,0.0,346.06250000000017,531.4927206432598,689.7469852066615,1.4371089757123356,703839.6321839081,4290591.4755990375,3.7793513E7,3.0,6.117612E7,1112293.0909090906,5371824.350000785,3.7793513E7,3.0,5.9933481E7,1933338.0967741937,7092120.33776534,3.7795725E7,98.0,0,0,0,0,1120,668,0.9145238936351228,0.522585082077213,0.0,1832.0,474.5617977528089,481.9358679292623,232262.18079673138,0,1,0,0,0,0,0,0,0.0,479.95454545454544,556.4642857142857,346.0625,0,0,0,0,0,0,56,31162,32,11074,-1,1024,40,0,1893680.5,2018876.8344216791,3321242.0,466119.0,2.551773E7,1.736057880734908E7,3.7793513E7,1.3241947E7,No Label
