Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-101.227.131.222-41280-80-6,10.215.173.1,41280,101.227.131.222,80,6,12/11/2022 09:47:20 上午,149783,3,5,915.0,600.0,915.0,0.0,305.0,528.2754963085076,600.0,0.0,120.0,268.32815729997475,10114.632501685772,53.410600668967774,21397.57142857143,39353.419613620805,101739.0,18.0,103258.0,51629.0,71723.25502931389,102345.0,913.0,149783.0,37445.75,47921.60412851389,101739.0,317.0,0,0,0,0,60,128,20.028975250862914,33.38162541810486,0.0,915.0,168.33333333333334,343.1836243179444,117775.0,0,1,0,0,0,0,0,0,1.0,189.375,305.0,120.0,0,0,0,0,0,0,3,915,5,600,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41296-80-6,10.215.173.1,41296,101.227.131.222,80,6,12/11/2022 09:47:24 上午,203127,3,5,678.0,328.0,678.0,0.0,226.0,391.44348251056624,328.0,0.0,65.6,146.6860593239862,4952.566620882502,39.38422760145131,29018.14285714286,49194.702199283514,106290.0,22.0,96657.0,48328.5,67629.81387302496,96150.0,507.0,203127.0,50781.75,58024.33860817947,106290.0,420.0,0,0,0,0,60,128,14.769085350544241,24.615142250907066,0.0,678.0,111.77777777777777,238.43750637104986,56852.444444444445,0,1,0,0,0,0,0,0,1.0,125.75,226.0,65.6,0,0,0,0,0,0,3,678,5,328,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41300-80-6,10.215.173.1,41300,101.227.131.222,80,6,12/11/2022 09:47:24 上午,156951,6,6,2368.0,1931.0,1036.0,0.0,394.6666666666667,509.83082161307846,1380.0,0.0,321.8333333333333,563.3011332020083,27390.71429936732,76.45698338972035,14268.272727272724,34794.905463561496,111715.0,15.0,113544.0,22708.8,50118.88247656765,112362.0,15.0,156951.0,31390.2,48531.108319303814,111715.0,98.0,0,0,0,0,120,148,38.228491694860175,38.228491694860175,0.0,1380.0,330.6923076923077,501.71063782081006,251713.56410256404,0,1,0,0,0,0,0,0,1.0,358.25,394.6666666666667,321.8333333333333,0,0,0,0,0,0,6,2368,6,1931,-1,8192,3,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41308-80-6,10.215.173.1,41308,101.227.131.222,80,6,12/11/2022 09:47:24 上午,129120,3,5,817.0,312.0,817.0,0.0,272.33333333333337,471.6951699279242,312.0,0.0,62.4,139.53064179598687,8743.804213135067,61.957868649318456,18445.714285714286,31084.686453377035,69843.0,111.0,71046.0,35523.0,49380.09495738136,70440.0,606.0,129120.0,32280.0,36570.10452086057,69843.0,850.0,0,0,0,0,60,128,23.234200743494423,38.72366790582404,0.0,817.0,125.44444444444447,279.1071080746203,77900.7777777778,0,1,0,0,0,0,0,0,1.0,141.125,272.3333333333333,62.4,0,0,0,0,0,0,3,817,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41304-80-6,10.215.173.1,41304,101.227.131.222,80,6,12/11/2022 09:47:24 上午,147079,3,5,801.0,312.0,801.0,0.0,267.0,462.45756562089025,312.0,0.0,62.4,139.53064179598687,7567.361757966808,54.39253734387643,21011.285714285714,35198.31568751686,74900.0,22.0,71844.0,35922.0,49043.51212953656,70601.0,1243.0,147079.0,36769.75,41300.21793626921,74900.0,363.0,0,0,0,0,60,128,20.39720150395366,33.99533583992277,0.0,801.0,123.66666666666667,274.15871315717834,75163.0,0,1,0,0,0,0,0,0,1.0,139.125,267.0,62.4,0,0,0,0,0,0,3,801,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41292-80-6,10.215.173.1,41292,101.227.131.222,80,6,12/11/2022 09:47:24 上午,290235,4,4,897.0,602.0,897.0,0.0,224.25,448.5,602.0,0.0,150.5,301.0,5164.780264268609,27.563870656536942,41462.14285714286,69009.33974573918,151393.0,13.0,157176.0,52392.0,88877.95599022291,155012.0,13.0,286787.0,95595.66666666667,81183.38808730105,151393.0,2461.0,0,0,0,0,80,108,13.781935328268471,13.781935328268471,0.0,897.0,166.55555555555554,338.62704820757864,114668.2777777778,0,1,0,0,0,0,0,0,1.0,187.375,224.25,150.5,0,0,0,0,0,0,4,897,4,602,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41292-80-6,101.227.131.222,80,10.215.173.1,41292,6,12/11/2022 09:47:24 上午,417,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4796.163069544365,417.0,0.0,417.0,417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2398.0815347721823,2398.0815347721823,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41312-80-6,10.215.173.1,41312,101.227.131.222,80,6,12/11/2022 09:47:24 上午,123828,4,4,694.0,344.0,694.0,0.0,173.5,347.0,344.0,0.0,86.0,172.0,8382.59521271441,64.60574345059275,17689.714285714286,29095.03969015043,71197.0,12.0,76655.0,25551.666666666664,42461.06687700314,74567.0,12.0,120795.0,40265.0,34641.7767009719,71197.0,2834.0,0,0,0,0,80,108,32.30287172529638,32.30287172529638,0.0,694.0,115.33333333333333,245.01428529781688,60032.0,0,1,0,0,0,0,0,0,1.0,129.75,173.5,86.0,0,0,0,0,0,0,4,694,4,344,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41312-80-6,101.227.131.222,80,10.215.173.1,41312,6,12/11/2022 09:47:24 上午,329,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6079.0273556231,329.0,0.0,329.0,329.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3039.51367781155,3039.51367781155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41316-80-6,10.215.173.1,41316,101.227.131.222,80,6,12/11/2022 09:47:24 上午,213233,4,4,829.0,778.0,829.0,0.0,207.25000000000003,414.5,778.0,0.0,194.5,389.0,7536.356942874696,37.517645017422254,30461.857142857145,53794.0594286165,139248.0,14.0,146344.0,48781.33333333333,82213.24039553078,143701.0,14.0,209134.0,69711.33333333334,68065.58002642255,139248.0,3219.0,0,0,0,0,80,108,18.758822508711127,18.758822508711127,0.0,829.0,178.55555555555554,354.53952921751585,125698.27777777778,0,1,0,0,0,0,0,0,1.0,200.875,207.25,194.5,0,0,0,0,0,0,4,829,4,778,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41316-80-6,101.227.131.222,80,10.215.173.1,41316,6,12/11/2022 09:47:24 上午,2738,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.4601899196493,2738.0,0.0,2738.0,2738.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,365.23009495982467,365.23009495982467,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41320-80-6,10.215.173.1,41320,101.227.131.222,80,6,12/11/2022 09:47:24 上午,502639,12,7,5432.0,5179.0,1036.0,0.0,452.66666666666663,519.7113417926134,1400.0,0.0,739.8571428571429,702.5905466133715,21110.578367376987,37.80048901895795,27924.3888888889,93788.54791192849,393891.0,10.0,408717.0,37156.09090909091,120592.62507919341,400731.0,10.0,499147.0,83191.16666666667,156258.04482511187,393891.0,446.0,0,0,0,0,240,168,23.873993064605017,13.926495954352927,0.0,1400.0,530.5500000000001,589.1045367871121,347044.1552631579,0,1,0,0,0,0,0,0,0.0,558.4736842105264,452.6666666666667,739.8571428571429,0,0,0,0,0,0,12,5432,7,5179,-1,8192,6,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41320-80-6,101.227.131.222,80,10.215.173.1,41320,6,12/11/2022 09:47:25 上午,318,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6289.30817610063,318.0,0.0,318.0,318.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3144.654088050315,3144.654088050315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41324-80-6,10.215.173.1,41324,101.227.131.222,80,6,12/11/2022 09:47:25 上午,90789,3,5,927.0,312.0,927.0,0.0,309.0,535.2036995387831,312.0,0.0,62.4,139.53064179598687,13647.027723622907,88.11640176673386,12969.857142857141,21920.298328479104,54003.0,25.0,56767.0,28383.5,38818.0409667979,55832.0,935.0,90789.0,22697.25,25826.847354061625,54003.0,1473.0,0,0,0,0,60,128,33.043650662525195,55.07275110420866,0.0,927.0,137.66666666666666,313.4692967421212,98263.00000000001,0,1,0,0,0,0,0,0,1.0,154.875,309.0,62.4,0,0,0,0,0,0,3,927,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41328-80-6,10.215.173.1,41328,101.227.131.222,80,6,12/11/2022 09:47:25 上午,189439,4,4,794.0,312.0,794.0,0.0,198.49999999999997,397.0,312.0,0.0,78.0,156.0,5838.2909538162685,42.22995264966559,27062.714285714283,45244.24549308006,101555.0,24.0,104369.0,34789.666666666664,58429.82444208893,102248.0,24.0,186871.0,62290.33333333333,53686.80062485874,101555.0,1113.0,0,0,0,0,80,108,21.114976324832796,21.114976324832796,0.0,794.0,122.88888888888889,271.99836600816394,73983.11111111111,0,1,0,0,0,0,0,0,1.0,138.25,198.5,78.0,0,0,0,0,0,0,4,794,4,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41328-80-6,101.227.131.222,80,10.215.173.1,41328,6,12/11/2022 09:47:26 上午,3417,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.308750365818,3417.0,0.0,3417.0,3417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,292.654375182909,292.654375182909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41332-80-6,10.215.173.1,41332,101.227.131.222,80,6,12/11/2022 09:47:26 上午,175036,3,5,927.0,312.0,927.0,0.0,309.0,535.2036995387831,312.0,0.0,62.4,139.53064179598687,7078.543842409562,45.704883566809116,25005.14285714286,45991.89244286639,119341.0,18.0,120073.0,60036.5,84863.4203441035,120044.0,29.0,175036.0,43759.0,56008.04030375162,119341.0,271.0,0,0,0,0,60,128,17.13933133755342,28.565552229255697,0.0,927.0,137.66666666666666,313.4692967421212,98263.00000000001,0,1,0,0,0,0,0,0,1.0,154.875,309.0,62.4,0,0,0,0,0,0,3,927,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41338-80-6,10.215.173.1,41338,101.227.131.222,80,6,12/11/2022 09:47:48 上午,116770,3,5,800.0,312.0,800.0,0.0,266.66666666666663,461.8802153517006,312.0,0.0,62.4,139.53064179598687,9522.99391967115,68.51074762353345,16681.428571428572,26542.439267816255,65234.0,31.0,72855.0,36427.5,42024.0631126977,66143.0,6712.0,116770.0,29192.5,30440.85641042315,65234.0,545.0,0,0,0,0,60,128,25.69153035882504,42.8192172647084,0.0,800.0,123.55555555555556,273.84991834539187,74993.77777777778,0,1,0,0,0,0,0,0,1.0,139.0,266.6666666666667,62.4,0,0,0,0,0,0,3,800,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41344-80-6,10.215.173.1,41344,101.227.131.222,80,6,12/11/2022 09:47:51 上午,116467,3,5,800.0,312.0,800.0,0.0,266.66666666666663,461.8802153517006,312.0,0.0,62.4,139.53064179598687,9547.768895910429,68.68898486266497,16638.14285714286,27959.37087649727,67142.0,19.0,69964.0,34982.0,46319.736808405985,67735.0,2229.0,116467.0,29116.75,32867.513965160186,67142.0,323.0,0,0,0,0,60,128,25.75836932349936,42.9306155391656,0.0,800.0,123.55555555555556,273.84991834539187,74993.77777777778,0,1,0,0,0,0,0,0,1.0,139.0,266.6666666666667,62.4,0,0,0,0,0,0,3,800,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41454-80-6,10.215.173.1,41454,101.227.131.222,80,6,12/11/2022 09:48:38 上午,193017,3,5,816.0,312.0,816.0,0.0,272.0,471.1178196587346,312.0,0.0,62.4,139.53064179598687,5844.0448250672225,41.44712641891647,27573.857142857145,45305.13287854762,100486.0,326.0,89836.0,44918.0,60539.65417806745,87726.0,2110.0,193017.0,48254.25,52694.69301789318,100486.0,2578.0,0,0,0,0,60,128,15.542672407093676,25.904454011822793,0.0,816.0,125.33333333333333,278.79741749162594,77727.99999999999,0,1,0,0,0,0,0,0,1.0,141.0,272.0,62.4,0,0,0,0,0,0,3,816,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41476-80-6,10.215.173.1,41476,101.227.131.222,80,6,12/11/2022 09:48:39 上午,253956,3,5,1034.0,328.0,1034.0,0.0,344.66666666666663,596.980178342073,328.0,0.0,65.6,146.6860593239862,5363.133771204461,31.501519948337506,36279.42857142857,75877.71460900568,203625.0,88.0,205022.0,102511.0,143645.9141709224,204084.0,938.0,253956.0,63489.0,95978.49738700157,203625.0,1133.0,0,0,0,0,60,128,11.813069980626565,19.68844996771094,0.0,1034.0,151.33333333333334,348.32169039553077,121328.0,0,1,0,0,0,0,0,0,1.0,170.25,344.6666666666667,65.6,0,0,0,0,0,0,3,1034,5,328,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41472-80-6,10.215.173.1,41472,101.227.131.222,80,6,12/11/2022 09:48:39 上午,409049,9,11,736.0,9612.0,736.0,0.0,81.77777777777777,245.33333333333331,1400.0,0.0,873.8181818181818,694.4842428999838,25297.702720212004,48.89389779708544,21528.894736842107,76909.63172443556,332373.0,13.0,339615.0,42451.875,117570.10153027548,333407.0,70.0,409049.0,40904.899999999994,104641.26353133039,332373.0,65.0,0,0,0,0,180,248,22.002254008688446,26.89164378839699,0.0,1400.0,492.76190476190476,658.2104454323028,433240.99047619046,0,1,0,0,0,0,0,0,1.0,517.4,81.77777777777777,873.8181818181819,0,0,0,0,0,0,9,736,11,9612,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41486-80-6,10.215.173.1,41486,101.227.131.222,80,6,12/11/2022 09:48:40 上午,287606,3,5,695.0,1147.0,695.0,0.0,231.66666666666669,401.25843708678985,1147.0,0.0,229.4,512.9539940384517,6404.595175344048,27.815831380430176,41086.571428571435,84600.27415215064,226726.0,55.0,229472.0,114736.0,159840.0736736567,227760.0,1712.0,287606.0,71901.5,106587.31818404414,226726.0,779.0,0,0,0,0,60,128,10.430936767661315,17.38489461276886,0.0,1147.0,204.66666666666669,421.55041216917346,177704.75000000003,0,1,0,0,0,0,0,0,1.0,230.25,231.66666666666666,229.4,0,0,0,0,0,0,3,695,5,1147,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41516-80-6,10.215.173.1,41516,101.227.131.222,80,6,12/11/2022 09:48:45 上午,664326,3,5,736.0,392.0,736.0,0.0,245.33333333333331,424.9297981235646,392.0,0.0,78.4,175.3077294359835,1697.9615429773937,12.042280446648181,94903.7142857143,217682.0256848004,584361.0,27.0,587334.0,293667.0,412950.36021294375,585667.0,1667.0,664326.0,166081.5,281087.1951364321,584361.0,960.0,0,0,0,0,60,128,4.5158551674930685,7.526425279155114,0.0,736.0,125.33333333333333,263.1501472543764,69248.0,0,1,0,0,0,0,0,0,1.0,141.0,245.33333333333334,78.4,0,0,0,0,0,0,3,736,5,392,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41526-80-6,10.215.173.1,41526,101.227.131.222,80,6,12/11/2022 09:48:47 上午,752103,9,11,720.0,9612.0,720.0,0.0,80.0,240.0,1400.0,0.0,873.8181818181819,692.9851106887966,13737.480105783385,26.592102411504808,39584.36842105264,143941.27499018883,629651.0,16.0,696227.0,87028.375,220729.55055512587,631212.0,97.0,752103.0,75210.3,196120.38541957393,629651.0,197.0,0,0,0,0,180,248,11.966446085177164,14.625656326327645,0.0,1400.0,492.0,657.1331676304278,431824.0,0,1,0,0,0,0,0,0,1.0,516.6,80.0,873.8181818181819,0,0,0,0,0,0,9,720,11,9612,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41544-80-6,10.215.173.1,41544,101.227.131.222,80,6,12/11/2022 09:48:50 上午,131155,3,5,816.0,312.0,816.0,0.0,272.0,471.1178196587346,312.0,0.0,62.4,139.53064179598687,8600.510845945637,60.99653082230948,18736.428571428572,33040.204573908355,82370.0,8.0,83654.0,41827.0,57930.43015548909,82790.0,864.0,131155.0,32788.75,39615.53471703578,82370.0,163.0,0,0,0,0,60,128,22.873699058366057,38.12283176394343,0.0,816.0,125.33333333333333,278.79741749162594,77727.99999999999,0,1,0,0,0,0,0,0,1.0,141.0,272.0,62.4,0,0,0,0,0,0,3,816,5,312,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41560-80-6,10.215.173.1,41560,101.227.131.222,80,6,12/11/2022 09:48:52 上午,187848,3,5,1018.0,328.0,1018.0,0.0,339.33333333333337,587.742574035039,328.0,0.0,65.6,146.6860593239862,7165.367744133555,42.58762403645501,26835.428571428572,51708.39236802586,137406.0,31.0,140756.0,70378.0,96375.82584860169,138526.0,2230.0,187848.0,46962.0,63939.47497959822,137406.0,717.0,0,0,0,0,60,128,15.97035901367063,26.61726502278438,0.0,1018.0,149.55555555555554,343.25759682456817,117825.77777777778,0,1,0,0,0,0,0,0,1.0,168.25,339.3333333333333,65.6,0,0,0,0,0,0,3,1018,5,328,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41556-80-6,10.215.173.1,41556,101.227.131.222,80,6,12/11/2022 09:48:52 上午,465026,5,7,720.0,2940.0,720.0,0.0,144.0,321.99378875996973,1380.0,0.0,420.0,659.0902821313632,7870.527669420635,25.805008752198802,42275.09090909092,119543.71705569018,398382.0,22.0,402792.0,100698.0,198895.87599042873,399039.0,126.0,465026.0,77504.33333333334,159076.96765612133,398382.0,112.0,0,0,0,0,100,168,10.752086980082835,15.052921772115967,0.0,1380.0,281.53846153846155,526.7169726055629,277430.76923076925,0,1,0,0,0,0,0,0,1.0,305.0,144.0,420.0,0,0,0,0,0,0,5,720,7,2940,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.227.131.222-41564-80-6,10.215.173.1,41564,101.227.131.222,80,6,12/11/2022 09:48:53 上午,558195,3,5,695.0,1082.0,695.0,0.0,231.66666666666669,401.25843708678985,1082.0,0.0,216.4,483.8851103309545,3183.4753088078537,14.331909099866534,79742.14285714286,191735.8001221373,513154.0,24.0,515224.0,257612.0,362204.13495430996,513729.0,1495.0,558195.0,139548.75,249797.3931480938,513154.0,370.0,0,0,0,0,60,128,5.37446591244995,8.957443187416583,0.0,1082.0,197.44444444444443,403.56074855934366,162861.27777777778,0,1,0,0,0,0,0,0,1.0,222.125,231.66666666666666,216.4,0,0,0,0,0,0,3,695,5,1082,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
